EmployeeNumber,Age,Gender,HourlyRate,MonthlyIncome,Department,JobLevel,JobRole,MaritalStatus,PerformanceRating
1,41,Female,94,5993,Sales,2,Sales Executive,Single,3
2,49,Male,61,5130,Research & Development,2,Research Scientist,Married,4
4,37,Male,92,2090,Research & Development,1,Laboratory Technician,Single,3
5,33,Female,56,2909,Research & Development,1,Research Scientist,Married,3
7,27,Male,40,3468,Research & Development,1,Laboratory Technician,Married,3
8,32,Male,79,3068,Research & Development,1,Laboratory Technician,Single,3
10,59,Female,81,2670,Research & Development,1,Laboratory Technician,Married,4
11,30,Male,67,2693,Research & Development,1,Laboratory Technician,Divorced,4
12,38,Male,44,9526,Research & Development,3,Manufacturing Director,Single,4
13,36,Male,94,5237,Research & Development,2,Healthcare Representative,Married,3
14,35,Male,84,2426,Research & Development,1,Laboratory Technician,Married,3
15,29,Female,49,4193,Research & Development,2,Laboratory Technician,Single,3
16,31,Male,31,2911,Research & Development,1,Research Scientist,Divorced,3
18,34,Male,93,2661,Research & Development,1,Laboratory Technician,Divorced,3
19,28,Male,50,2028,Research & Development,1,Laboratory Technician,Single,3
20,29,Female,51,9980,Research & Development,3,Manufacturing Director,Divorced,3
21,32,Male,80,3298,Research & Development,1,Research Scientist,Divorced,3
22,22,Male,96,2935,Research & Development,1,Laboratory Technician,Divorced,3
23,53,Female,78,15427,Sales,4,Manager,Married,3
24,38,Male,45,3944,Research & Development,1,Research Scientist,Single,3
26,24,Female,96,4011,Research & Development,2,Manufacturing Director,Divorced,3
27,36,Male,82,3407,Sales,1,Sales Representative,Single,4
28,34,Female,53,11994,Research & Development,3,Research Director,Single,3
30,21,Male,96,1232,Research & Development,1,Research Scientist,Single,3
31,34,Male,83,2960,Research & Development,1,Research Scientist,Single,3
32,53,Female,58,19094,Research & Development,5,Manager,Divorced,3
33,32,Female,72,3919,Research & Development,1,Research Scientist,Single,4
35,42,Male,48,6825,Sales,2,Sales Executive,Married,3
36,44,Female,42,10248,Research & Development,3,Healthcare Representative,Married,3
38,46,Female,83,18947,Sales,5,Manager,Single,3
39,33,Male,78,2496,Research & Development,1,Laboratory Technician,Single,3
40,44,Male,41,6465,Research & Development,2,Healthcare Representative,Married,3
41,30,Male,83,2206,Research & Development,1,Laboratory Technician,Single,3
42,39,Male,56,2086,Sales,2,Sales Representative,Married,3
45,24,Male,61,2293,Research & Development,1,Research Scientist,Married,3
46,43,Female,72,2645,Research & Development,1,Research Scientist,Divorced,3
47,50,Male,86,2683,Sales,1,Sales Representative,Married,3
49,35,Female,97,2014,Sales,1,Sales Representative,Married,3
51,36,Female,82,3419,Research & Development,1,Research Scientist,Married,3
52,33,Female,42,5376,Sales,2,Sales Executive,Married,3
53,35,Male,75,1951,Research & Development,1,Laboratory Technician,Divorced,3
54,27,Female,33,2341,Research & Development,1,Laboratory Technician,Divorced,3
55,26,Male,48,2293,Research & Development,1,Laboratory Technician,Single,3
56,27,Male,37,8726,Sales,3,Sales Executive,Single,3
57,30,Female,58,4011,Research & Development,2,Laboratory Technician,Single,4
