_c1,avg(_c4)
55,3204.181818
23,515.3571429
46,1457.969697
37,853
28,904.8333333
19,75
50,2697.166667
41,379.8
32,92.45901639
22,950
45,811.2195122
36,590.9130435
59,38
27,190.4166667
18,518.3
40,700.9473684
31,525.3913043
54,875.8333333
33,500
56,248.3571429
24,243.9230769
47,931.4166667
38,721.5862069
29,584.4117647
60,268
51,632.4736842
42,74.84782609
44,114.3333333
35,425.2820513
58,705.7857143
26,531.4871795
49,952.8
30,814
53,1564.157895
21,491.4615385
34,269.2207792
57,803
25,144.7692308
48,344.7894737
39,183.3571429
52,606.8888889
20,539.3636364
43,444.93
